"id","speciesx","latin","specieslowercase","speciesy","thesource","estimatebwood1","estimatebwood2","estimatebbark1","estimatebbark2","estimatebbranches1","estimatebbranches2","estimatebfoliage1","estimatebfoliage2","sebwood1","sebwood2","sebbark1","sebbark2","sebbranches1","sebbranches2","sebfoliage1","sebfoliage2"
1,"Amelanchier species","Unknown","amelanchier species","All hardwoods","Ung et al. 2008","0.0864","2.3715","0.0226","2.2151","0.0186","2.4462","0.0385","1.6255","0.0015","0.0053","0.0008","0.0112","0.0007","0.0127","0.001","0.0089"
2,"American Basswood","Tilia americana","american basswood","Basswood","Lambert et al. 2005","0.0562","2.4102","0.0302","2.0976","0.023","2.2382","0.0288","1.6378","0.0045","0.0227","0.0068","0.0652","0.0069","0.0888","0.0095","0.0966"
3,"American Beech","Cornus alternifolia","american beech","Beech","Lambert et al. 2005","0.1478","2.2986","0.012","2.2388","0.037","2.368","0.0376","1.6164","0.0202","0.0401","0.001","0.0256","0.0042","0.0353","0.0055","0.0445"
4,"American Chestnut","Castanea dentata","american chestnut","All hardwoods","Ung et al. 2008","0.0864","2.3715","0.0226","2.2151","0.0186","2.4462","0.0385","1.6255","0.0015","0.0053","0.0008","0.0112","0.0007","0.0127","0.001","0.0089"
5,"American Elm","Ulmus americana","american elm","White elm","Lambert et al. 2005","0.0402","2.5804","0.0073","2.4859","0.0401","2.1826","0.075","1.3436","0.004","0.0286","0.0023","0.0974","0.0042","0.0356","0.0031","0.0164"
6,"American Hornbeam","Carpinus caroliniana","american hornbeam","All hardwoods","Ung et al. 2008","0.0864","2.3715","0.0226","2.2151","0.0186","2.4462","0.0385","1.6255","0.0015","0.0053","0.0008","0.0112","0.0007","0.0127","0.001","0.0089"
7,"American Larch","Larix laricina","american larch","Tamarack larch","Lambert et al. 2005","0.0625","2.4475","0.0174","2.1109","0.0196","2.2652","0.0801","1.4875","0.0028","0.0153","0.0005","0.0101","0.0015","0.0269","0.0063","0.0291"
8,"American Mountain-ash","Sorbus americana","american mountain-ash","All hardwoods","Ung et al. 2008","0.0864","2.3715","0.0226","2.2151","0.0186","2.4462","0.0385","1.6255","0.0015","0.0053","0.0008","0.0112","0.0007","0.0127","0.001","0.0089"
9,"Balsam Fir","Abies amabilis","balsam fir","Balsam fir","Lambert et al. 2005","0.0534","2.403","0.0115","2.3484","0.007","2.5406","0.084","1.6695","0.0017","0.0103","0.0004","0.0127","0.0007","0.0347","0.0046","0.0199"
10,"Balsam Poplar","Populus balsamifera","balsam poplar","Balsam poplar","Lambert et al. 2005","0.051","2.4529","0.0297","2.1131","0.012","2.4165","0.0276","1.6215","0.0033","0.0205","0.0035","0.0375","0.0014","0.0376","0.0018","0.024"
