"id","speciesx","latin","specieslowercase","speciesy","thesource","estimatebwood1","estimatebwood2","estimatebwood3","estimatebbark1","estimatebbark2","estimatebbark3","estimatebbranches1","estimatebbranches2","estimatebbranches3","estimatebfoliage1","estimatebfoliage2","estimatebfoliage3","sebwood1","sebwood2","sebwood3","sebbark1","sebbark2","sebbark3","sebbranches1","sebbranches2","sebbranches3","sebfoliage1","sebfoliage2","sebfoliage3"
1,"Amelanchier species","Unknown","amelanchier species","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
2,"American Basswood","Tilia americana","american basswood","Basswood","Lambert","0.0168","1.9844","0.8989","0.0057","1.5881","1.1472","0.0039","2.0084","0.8588","0.0147","1.83","0","0.0014","0.0494","0.0767","0.001","0.0788","0.129","0.0021","0.17","0.2993","0.0039","0.0753","0"
3,"American Beech","Cornus alternifolia","american beech","Beech","Lambert","0.0432","2.0378","0.7","0.0049","1.9057","0.677","0.0355","2.3749","0","0.0452","1.5567","0","0.0053","0.0443","0.0816","0.0015","0.0905","0.1709","0.0045","0.0381","0","0.008","0.0529","0"
4,"American Chestnut","Castanea dentata","american chestnut","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
5,"American Elm","Ulmus americana","american elm","White elm","Lambert","0.0207","2.2276","0.6488","0.0078","2.454","0","0.0393","2.188","0","0.0516","1.4511","0","0.0039","0.0632","0.1171","0.0024","0.0954","0","0.0059","0.0456","0","0.0028","0.0187","0"
6,"American Hornbeam","Carpinus caroliniana","american hornbeam","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
7,"American Larch","Larix laricina","american larch","Tamarack larch","Lambert","0.0276","1.6724","1.1443","0.012","1.7059","0.5811","0.0336","3.1335","-1.1559","0.1324","2.114","-0.8781","0.001","0.0208","0.0271","0.0004","0.0243","0.0318","0.0028","0.0694","0.0864","0.0107","0.077","0.0983"
8,"American Mountain-ash","Sorbus americana","american mountain-ash","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
9,"Balsam Fir","Abies amabilis","balsam fir","Balsam fir","Lambert","0.0294","1.8357","0.864","0.0053","2.0876","0.5842","0.0117","3.5097","-1.3006","0.1245","2.523","-1.123","0.0008","0.0163","0.0213","0.0004","0.0388","0.0506","0.0008","0.0667","0.0773","0.0073","0.075","0.0878"
10,"Balsam Poplar","Populus balsamifera","balsam poplar","Balsam poplar","Lambert","0.0117","1.7757","1.2555","0.018","1.8131","0.5144","0.0112","3.0861","-0.7164","0.0617","1.8615","-0.5375","0.0015","0.0541","0.0883","0.0036","0.0939","0.1438","0.0028","0.1464","0.2179","0.0103","0.1264","0.1855"
11,"Bay-leaved Willow","Salix pentandra","bay-leaved willow","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
12,"Big-leaf Linden","Tilia platyphyllos","big-leaf linden","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
13,"Bitternut Hickory","Carya cordiformis","bitternut hickory","Hickory","Lambert","0.0139","1.5913","1.508","0.0081","1.4943","1.1324","0.005","3.0463","0","0.0121","2.0865","0","0.002","0.0472","0.0797","0.0021","0.0886","0.1413","0.0014","0.09","0","0.0025","0.0623","0"
14,"Black Ash","Fraxinus nigra","black ash","Black Ash","Lambert","0.0306","2.1836","0.574","0.0897","2.2634","-0.567","0.0994","2.163","-0.4809","0.0124","1.0325","0.8747","0.0081","0.0575","0.1344","0.0452","0.1301","0.2761","0.0273","0.1432","0.2285","0.0047","0.1425","0.2638"
15,"Black Cherry","Prunus serotina","black cherry","Black cherry","Lambert","0.0181","1.7013","1.3057","0.0101","1.5956","0.919","0.0005","2.8004","0.8603","0.1976","1.4421","-0.5264","0.005","0.0571","0.1157","0.0034","0.0767","0.1401","0.0004","0.1592","0.3067","0.0291","0.1099","0.1743"
16,"Black Gum","Nyssa sylvatica","black gum","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
17,"Black Locust","Robinia pseudoacacia","black locust","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
18,"Black Maple","Acer nigrum","black maple","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
19,"Black Oak","Quercus velutina","black oak","Red oak","Lambert","0.0285","1.8501","1.0204","0.0326","1.81","0.4153","0.0013","3.0637","0.3153","0.0582","1.5438","0","0.0049","0.0368","0.0732","0.0066","0.061","0.109","0.0005","0.0863","0.1273","0.0048","0.0295","0"
20,"Black Spruce","Picea mariana","black spruce","Black spruce","Ung","0.0335","1.7389","0.9835","0.0132","1.7657","0.5775","0.0405","3.1917","-1.3674","0.2078","2.5517","-1.3453","0.0005","0.012","0.0142","0.0005","0.0276","0.031","0.0026","0.055","0.061","0.0085","0.0497","0.0561"
21,"Black Walnut","Juglans nigra","black walnut","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
22,"Blue Ash","Fraxinus quadrangulata","blue ash","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
23,"Buckthorn","Rhamnus cathartica","buckthorn","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
24,"Bur Oak","Quercus macrocarpa","bur oak","White oak","Lambert","0.0442","1.6818","1.031","0.0308","1.7479","0.3504","0.0022","2.0165","1.3953","0.0053","1.2822","1.1323","0.0049","0.0457","0.0844","0.005","0.0672","0.1137","0.0006","0.0598","0.1278","0.0017","0.1077","0.1905"
25,"Butternut","Juglans cinerea","butternut","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
26,"Carolina Poplar","Populus xcanadensis","caroli poplar","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
27,"Chinquapin Oak","Quercus muehlenbergii","chinquapin oak","White oak","Lambert","0.0442","1.6818","1.031","0.0308","1.7479","0.3504","0.0022","2.0165","1.3953","0.0053","1.2822","1.1323","0.0049","0.0457","0.0844","0.005","0.0672","0.1137","0.0006","0.0598","0.1278","0.0017","0.1077","0.1905"
28,"Common Hackberry","Celtis occidentalis","common hackberry","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
29,"Cucumber Tree","Magnolia acuminata","cucumber tree","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
30,"Eastern Cottonwood","Populus deltoides","eastern cottonwood","All hardwoods","Ung","0.0353","2.0249","0.7048","0.009","1.8677","0.7144","0.0448","2.6855","-0.5911","0.0869","1.8541","-0.5491","0.0009","0.01","0.0167","0.0005","0.0205","0.0332","0.0024","0.0306","0.0456","0.0038","0.0262","0.0407"
31,"Eastern Hemlock","Tsuga canadensis","eastern hemlock","Eastern hemlock","Lambert","0.0257","1.9277","0.8576","0.0118","1.9893","0.47","0.0215","2.6553","-0.4682","0.1471","2.0108","-0.608","0.0019","0.0357","0.0549","0.0012","0.0614","0.0928","0.0044","0.1087","0.1564","0.0179","0.0959","0.1416"
32,"Eastern Red Cedar","Juniperis virginiana","eastern red cedar","Eastern redcedar","Lambert","0.052","1.7731","0.7054","0.0283","1.7079","0","0.0219","2.3585","0","0.2575","2.5136","-1.5565","0.0069","0.0347","0.0871","0.004","0.0488","0","0.0063","0.0899","0","0.1128","0.1784","0.3393"
33,"Eastern White Cedar","Thuja occidentalis","eastern white cedar","Eastern white-cedar","Lambert","0.0295","1.7026","0.9428","0.0076","1.7861","0.6132","0.0501","2.5165","-0.8774","0.0813","2.218","-0.7907","0.0018","0.0355","0.06","0.0008","0.0628","0.1045","0.0066","0.1117","0.1719","0.0105","0.1124","0.1708"
34,"Eastern White Pine","Pinus strobus","eastern white pine","Eastern white pine","Lambert","0.017","1.7779","1.137","0.0069","1.6589","0.9582","0.0184","3.1968","-1.0876","0.0584","2.2389","-0.5968","0.0008","0.0197","0.0305","0.0005","0.0369","0.0534","0.002","0.0665","0.0874","0.0113","0.0772","0.1038"
35,"European Larch","Larix decidua","european larch","Tamarack larch","Lambert","0.0276","1.6724","1.1443","0.012","1.7059","0.5811","0.0336","3.1335","-1.1559","0.1324","2.114","-0.8781","0.001","0.0208","0.0271","0.0004","0.0243","0.0318","0.0028","0.0694","0.0864","0.0107","0.077","0.0983"
